OBJECTID,FREQUENCY,HAUL_ID,GEAR_ABBREV,CRUISE,YEAR,HAUL_NAME,CORRECTED_LENGTH,FcorrLen_mm,station
721,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,5.9,6.68625,1
722,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,6,6.7906,1
723,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,6.2,6.9993,1
724,2,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,6.7,7.52105,1
725,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,6.9,7.72975,1
726,2,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,1
727,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,1
728,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,7.3,8.14715,1
729,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,7.4,8.2515,1
730,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,7.6,8.4602,1
731,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,7.7,8.56455,1
732,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,1
733,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,1
734,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,8.3,9.19065,1
735,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,8.4,9.295,1
736,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,1
737,1,4MF06 1 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,1
738,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,6.5,7.31235,10
739,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,6.8,7.6254,10
740,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,6.9,7.72975,10
741,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,10
742,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.1,7.93845,10
743,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,10
744,3,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.3,8.14715,10
745,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.5,8.35585,10
746,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.6,8.4602,10
747,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.7,8.56455,10
748,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,7.9,8.77325,10
749,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,10
750,2,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,10
751,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,8.3,9.19065,10
752,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,8.4,9.295,10
753,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,8.6,9.5037,10
754,2,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,10
755,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,10
756,2,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9.1,10.02545,10
757,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9.3,10.23415,10
758,2,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9.4,10.3385,10
759,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9.5,10.44285,10
760,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9.7,10.65155,10
761,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,9.8,10.7559,10
762,2,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,10
763,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,10.1,11.06895,10
764,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,10.6,11.5907,10
765,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,11,12.0081,10
766,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,11.2,12.2168,10
767,1,4MF06 10 1 60BON 1,60BON,4MF06,2006,1,15,16.1821,10
768,1,4MF06 100 1 60BON 1,60BON,4MF06,2006,1,5.8,6.5819,100
769,1,4MF06 100 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,100
770,1,4MF06 100 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,100
771,1,4MF06 101 1 60BON 1,60BON,4MF06,2006,1,10.2,11.1733,101
772,1,4MF06 101 1 60BON 1,60BON,4MF06,2006,1,10.3,11.27765,101
773,1,4MF06 101 1 60BON 1,60BON,4MF06,2006,1,11,12.0081,101
774,1,4MF06 101 1 60BON 1,60BON,4MF06,2006,1,13,14.0951,101
775,1,4MF06 102 1 60BON 1,60BON,4MF06,2006,1,8.6,9.5037,102
776,1,4MF06 103 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,103
777,1,4MF06 106 1 60BON 1,60BON,4MF06,2006,1,17,18.2691,106
778,1,4MF06 11 1 60BON 1,60BON,4MF06,2006,1,9.4,10.3385,11
779,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,6.8,7.6254,110
780,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,7.1,7.93845,110
781,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,7.7,8.56455,110
782,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,7.9,8.77325,110
783,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,110
784,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,9.6,10.5472,110
785,2,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,110
786,1,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,10.2,11.1733,110
787,3,4MF06 110 1 60BON 1,60BON,4MF06,2006,1,10.6,11.5907,110
788,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,9.2,10.1298,111
789,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,111
790,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,11.2,12.2168,111
791,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,13,14.0951,111
792,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,13.2,14.3038,111
793,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,13.8,14.9299,111
794,1,4MF06 111 1 60BON 1,60BON,4MF06,2006,1,14.2,15.3473,111
795,1,4MF06 112 1 60BON 1,60BON,4MF06,2006,1,10.2,11.1733,112
796,1,4MF06 112 1 60BON 1,60BON,4MF06,2006,1,16.2,17.4343,112
797,1,4MF06 113 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,113
798,1,4MF06 117 1 60BON 1,60BON,4MF06,2006,1,9.7,10.65155,117
799,1,4MF06 117 1 60BON 1,60BON,4MF06,2006,1,11.5,12.52985,117
800,1,4MF06 117 1 60BON 1,60BON,4MF06,2006,1,17.5,18.79085,117
801,1,4MF06 118 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,118
802,1,4MF06 119 1 60BON 1,60BON,4MF06,2006,1,7.8,8.6689,119
803,1,4MF06 119 1 60BON 1,60BON,4MF06,2006,1,14,15.1386,119
804,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,4.8,5.5384,12
805,2,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,5,5.7471,12
806,3,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,6.1,6.89495,12
807,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,6.5,7.31235,12
808,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,6.9,7.72975,12
809,2,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,7.1,7.93845,12
810,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,7.5,8.35585,12
811,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,7.6,8.4602,12
812,3,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,12
813,4,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,8.2,9.0863,12
814,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,8.4,9.295,12
815,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,8.5,9.39935,12
816,2,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,8.7,9.60805,12
817,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,12
818,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,12
819,3,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,9.1,10.02545,12
820,2,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,9.2,10.1298,12
821,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,9.9,10.86025,12
822,2,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,12
823,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,10.1,11.06895,12
824,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,11.2,12.2168,12
825,1,4MF06 12 1 60BON 1,60BON,4MF06,2006,1,14.1,15.24295,12
826,1,4MF06 120 1 60BON 1,60BON,4MF06,2006,1,9.9,10.86025,120
827,1,4MF06 121 1 60BON 1,60BON,4MF06,2006,1,7.8,8.6689,121
828,1,4MF06 121 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,121
829,1,4MF06 121 1 60BON 1,60BON,4MF06,2006,1,12.2,13.2603,121
830,1,4MF06 122 1 60BON 1,60BON,4MF06,2006,1,6.1,6.89495,122
831,1,4MF06 122 1 60BON 1,60BON,4MF06,2006,1,8.2,9.0863,122
832,1,4MF06 122 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,122
833,1,4MF06 122 1 60BON 1,60BON,4MF06,2006,1,10.1,11.06895,122
834,1,4MF06 123 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,123
835,1,4MF06 123 1 60BON 1,60BON,4MF06,2006,1,8.2,9.0863,123
836,1,4MF06 126 1 60BON 1,60BON,4MF06,2006,1,10.5,11.48635,126
837,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,6,6.7906,127
838,2,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,127
839,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,127
840,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,7.8,8.6689,127
841,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,127
842,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,127
843,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,9.4,10.3385,127
844,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,9.5,10.44285,127
845,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,127
846,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,11,12.0081,127
847,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,11.5,12.52985,127
848,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,11.7,12.73855,127
849,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,11.8,12.8429,127
850,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,12,13.0516,127
851,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,12.2,13.2603,127
852,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,13.8,14.9299,127
853,1,4MF06 127 1 60BON 1,60BON,4MF06,2006,1,14,15.1386,127
854,1,4MF06 128 1 60BON 1,60BON,4MF06,2006,1,12.8,13.8864,128
855,1,4MF06 129 1 60BON 1,60BON,4MF06,2006,1,5.7,6.47755,129
856,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,5,5.7471,13
857,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,5.4,6.1645,13
858,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,5.6,6.3732,13
859,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,5.7,6.47755,13
860,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,6,6.7906,13
861,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,13
862,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,7.1,7.93845,13
863,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,13
864,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,7.3,8.14715,13
865,2,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,13
866,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,8.7,9.60805,13
867,1,4MF06 13 1 60BON 1,60BON,4MF06,2006,1,9.2,10.1298,13
868,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,5,5.7471,130
869,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,5.4,6.1645,130
870,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,7.3,8.14715,130
871,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,7.5,8.35585,130
872,2,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,8.5,9.39935,130
873,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,130
874,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,9.5,10.44285,130
875,2,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,11.5,12.52985,130
876,2,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,12,13.0516,130
877,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,12.5,13.57335,130
878,1,4MF06 130 1 60BON 1,60BON,4MF06,2006,1,13,14.0951,130
879,1,4MF06 132 1 60BON 1,60BON,4MF06,2006,1,12,13.0516,132
880,1,4MF06 132 1 60BON 1,60BON,4MF06,2006,1,17.1,18.37345,132
881,1,4MF06 134 1 60BON 1,60BON,4MF06,2006,1,10.5,11.48635,134
882,1,4MF06 135 1 60BON 1,60BON,4MF06,2006,1,6.5,7.31235,135
883,1,4MF06 135 1 60BON 1,60BON,4MF06,2006,1,6.9,7.72975,135
884,1,4MF06 135 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,135
885,1,4MF06 137 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,137
886,1,4MF06 139 1 60BON 1,60BON,4MF06,2006,1,6,6.7906,139
887,1,4MF06 139 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,139
888,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,4.2,4.9123,14
889,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,4.4,5.121,14
890,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,5.2,5.9558,14
891,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,5.3,6.06015,14
892,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,5.6,6.3732,14
893,2,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,6.8,7.6254,14
894,3,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,6.9,7.72975,14
895,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,14
896,2,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,7.1,7.93845,14
897,2,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,14
898,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,7.4,8.2515,14
899,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,7.6,8.4602,14
900,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,14
901,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,14
902,2,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,9.1,10.02545,14
903,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,9.2,10.1298,14
904,3,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,9.5,10.44285,14
905,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,9.8,10.7559,14
906,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,14
907,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,10.1,11.06895,14
908,3,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,10.2,11.1733,14
909,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,10.3,11.27765,14
910,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,10.7,11.69505,14
911,1,4MF06 14 1 60BON 1,60BON,4MF06,2006,1,10.8,11.7994,14
912,1,4MF06 141 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,141
913,1,4MF06 141 1 60BON 1,60BON,4MF06,2006,1,11,12.0081,141
914,1,4MF06 142 1 60BON 1,60BON,4MF06,2006,1,9.1,10.02545,142
915,1,4MF06 142 1 60BON 1,60BON,4MF06,2006,1,14,15.1386,142
916,1,4MF06 147 1 60BON 1,60BON,4MF06,2006,1,14,15.1386,147
917,1,4MF06 148 1 60BON 1,60BON,4MF06,2006,1,11.3,12.32115,148
918,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,5,5.7471,15
919,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,5.1,5.85145,15
920,2,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,15
921,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,7.1,7.93845,15
922,6,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,15
923,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,8.2,9.0863,15
924,3,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,8.5,9.39935,15
925,3,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,15
926,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,9.1,10.02545,15
927,2,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,9.2,10.1298,15
928,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,10,10.9646,15
929,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,10.2,11.1733,15
930,1,4MF06 15 1 60BON 1,60BON,4MF06,2006,1,10.8,11.7994,15
931,1,4MF06 150 1 60BON 1,60BON,4MF06,2006,1,11,12.0081,150
932,1,4MF06 151 1 60BON 1,60BON,4MF06,2006,1,5.5,6.26885,151
933,1,4MF06 152 1 60BON 1,60BON,4MF06,2006,1,6.4,7.208,152
934,1,4MF06 152 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,152
935,1,4MF06 154 1 60BON 1,60BON,4MF06,2006,1,13.6,14.7212,154
936,1,4MF06 155 1 60BON 1,60BON,4MF06,2006,1,11.2,12.2168,155
937,1,4MF06 155 1 60BON 1,60BON,4MF06,2006,1,12.2,13.2603,155
938,1,4MF06 155 1 60BON 1,60BON,4MF06,2006,1,14.3,15.45165,155
939,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,3.8,4.4949,16
940,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,4.2,4.9123,16
941,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,4.5,5.22535,16
942,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,5.4,6.1645,16
943,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,6.4,7.208,16
944,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,6.8,7.6254,16
945,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,7.2,8.0428,16
946,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,7.3,8.14715,16
947,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,7.6,8.4602,16
948,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,8.2,9.0863,16
949,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,8.9,9.81675,16
950,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,9.1,10.02545,16
951,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,9.5,10.44285,16
952,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,9.9,10.86025,16
953,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,10.1,11.06895,16
954,1,4MF06 16 1 60BON 2,60BON,4MF06,2006,1,15,16.1821,16
955,1,4MF06 161 1 60BON 1,60BON,4MF06,2006,1,12.5,13.57335,161
956,1,4MF06 164 1 60BON 1,60BON,4MF06,2006,1,8.5,9.39935,164
957,1,4MF06 165 1 60BON 1,60BON,4MF06,2006,1,16,17.2256,165
958,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,5.1,5.85145,17
959,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,6.8,7.6254,17
960,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,17
961,2,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,17
962,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,8.2,9.0863,17
963,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,8.3,9.19065,17
964,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,8.5,9.39935,17
965,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,8.7,9.60805,17
966,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,17
967,2,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,17
968,3,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,9.2,10.1298,17
969,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,9.3,10.23415,17
970,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,9.4,10.3385,17
971,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,9.5,10.44285,17
972,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,10.4,11.382,17
973,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,11.3,12.32115,17
974,1,4MF06 17 1 60BON 1,60BON,4MF06,2006,1,12.1,13.15595,17
975,1,4MF06 176 1 60BON 1,60BON,4MF06,2006,1,16,17.2256,176
976,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,5.2,5.9558,18
977,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,6,6.7906,18
978,2,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,6.8,7.6254,18
979,2,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,18
980,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,7.7,8.56455,18
981,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,18
982,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,18
983,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,8.2,9.0863,18
984,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,8.3,9.19065,18
985,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,8.4,9.295,18
986,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,8.8,9.7124,18
987,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,9.8,10.7559,18
988,1,4MF06 18 1 60BON 1,60BON,4MF06,2006,1,10.4,11.382,18
989,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,5.4,6.1645,19
990,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,5.7,6.47755,19
991,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,6.3,7.10365,19
992,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,7,7.8341,19
993,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,7.4,8.2515,19
994,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,7.5,8.35585,19
995,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,7.6,8.4602,19
996,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,8.1,8.98195,19
997,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,8.4,9.295,19
998,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,19
999,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,9.3,10.23415,19
1000,1,4MF06 19 1 60BON 1,60BON,4MF06,2006,1,9.6,10.5472,19
1001,1,4MF06 22 1 60BON 1,60BON,4MF06,2006,1,11.9,12.94725,22
1002,1,4MF06 22 1 60BON 1,60BON,4MF06,2006,1,12.1,13.15595,22
1003,1,4MF06 22 1 60BON 1,60BON,4MF06,2006,1,12.3,13.36465,22
1004,1,4MF06 22 1 60BON 1,60BON,4MF06,2006,1,13.5,14.61685,22
1005,1,4MF06 22 1 60BON 1,60BON,4MF06,2006,1,13.9,15.03425,22
1006,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,5.1,5.85145,24
1007,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,5.8,6.5819,24
1008,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,6,6.7906,24
1009,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,7.2,8.0428,24
1010,2,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,24
1011,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,9,9.9211,24
1012,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,9.8,10.7559,24
1013,2,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,11,12.0081,24
1014,1,4MF06 24 1 60BON 1,60BON,4MF06,2006,1,11.8,12.8429,24
1015,1,4MF06 25 1 60BON 1,60BON,4MF06,2006,1,5.8,6.5819,25
1016,2,4MF06 25 1 60BON 1,60BON,4MF06,2006,1,8,8.8776,25
