,X.1,Unique.ID,dayoflife,X,oto_inc_micron,sl_micron,capdate,hatch.date,hatch.date.noYear,hdate,LAT,LON,YEAR,age,Date,yr_f,spline_gaktemp_0_30,SurfTemp,SplineFit,doy,DeepTemp,TempApplied,hw,cum_OR,OR_cpt,sl_mm,MF_estimate,BC_estimate
1,1,1,1,1,1.361,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/8/2006,2006,4.687561557,4.687561557,5.044191674,98,5.044191674,5.044191674,before HW,9.261,80.946,11.8806166,4.012990204,4.008729518
2,2,1,10,10,1.187,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/17/2006,2006,4.770543735,4.770543735,5.132592813,107,5.132592813,4.770543735,before HW,20.119,80.946,11.8806166,5.237269143,5.201070314
3,3,1,11,11,1.429,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/18/2006,2006,4.768901471,4.768901471,5.145157173,108,5.145157173,4.768901471,before HW,21.548,80.946,11.8806166,5.396789396,5.357991938
4,4,1,12,12,1.129,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/19/2006,2006,4.765483207,4.765483207,5.158154369,109,5.158154369,4.765483207,before HW,22.677,80.946,11.8806166,5.522619129,5.481969904
5,5,1,13,13,1.011,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/20/2006,2006,4.760698942,4.760698942,5.171545694,110,5.171545694,4.760698942,before HW,23.688,80.946,11.8806166,5.635154832,5.592990032
6,6,1,14,14,0.925,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/21/2006,2006,4.754958675,4.754958675,5.185292439,111,5.185292439,4.754958675,before HW,24.613,80.946,11.8806166,5.738004936,5.694566311
7,7,1,15,15,0.874,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/22/2006,2006,4.748672407,4.748672407,5.199355896,112,5.199355896,4.748672407,before HW,25.487,80.946,11.8806166,5.835089198,5.790542168
8,8,1,16,16,0.764,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/23/2006,2006,4.742250137,4.742250137,5.213697355,113,5.213697355,4.742250137,before HW,26.251,80.946,11.8806166,5.919881469,5.874438683
9,9,1,17,17,0.912,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/24/2006,2006,4.736101863,4.736101863,5.228278109,114,5.228278109,4.736101863,before HW,27.163,80.946,11.8806166,6.02101309,5.974587404
10,10,1,18,18,0.813,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/25/2006,2006,4.730637586,4.730637586,5.243059448,115,5.243059448,4.730637586,before HW,27.976,80.946,11.8806166,6.111089842,6.063864717
11,11,1,19,19,1.106,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/26/2006,2006,4.726267305,4.726267305,5.258002665,116,5.258002665,4.726267305,before HW,29.082,80.946,11.8806166,6.233517508,6.185317003
12,12,1,2,2,1.027,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/9/2006,2006,4.703912949,4.703912949,5.051510248,99,5.051510248,5.051510248,before HW,10.288,80.946,11.8806166,4.129983883,4.12150664
13,13,1,20,20,1.097,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/27/2006,2006,4.72340102,4.72340102,5.27306905,117,5.27306905,4.72340102,before HW,30.179,80.946,11.8806166,6.354825728,6.305780979
14,14,1,21,21,1.188,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/28/2006,2006,4.722448729,4.722448729,5.288219895,118,5.288219895,4.722448729,before HW,31.367,80.946,11.8806166,6.486063822,6.436237865
15,15,1,22,22,1.104,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/29/2006,2006,4.723820432,4.723820432,5.303416492,119,5.303416492,4.723820432,before HW,32.471,80.946,11.8806166,6.607903006,6.557470526
16,16,1,23,23,1.226,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/30/2006,2006,4.72792613,4.72792613,5.318620131,120,5.318620131,4.72792613,before HW,33.697,80.946,11.8806166,6.743076447,6.692100275
17,17,1,24,24,1.278,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/1/2006,2006,4.735175821,4.735175821,5.333792105,121,5.333792105,4.735175821,before HW,34.975,80.946,11.8806166,6.883843034,6.832440258
18,18,1,25,25,1.736,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/2/2006,2006,4.745979504,4.745979504,5.348893705,122,5.348893705,4.745979504,before HW,36.711,80.946,11.8806166,7.074836786,7.023074226
19,19,1,26,26,1.653,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/3/2006,2006,4.76074718,4.76074718,5.363886221,123,5.363886221,4.76074718,before HW,38.364,80.946,11.8806166,7.256473921,7.204593782
20,20,1,27,27,1.308,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/4/2006,2006,4.779888847,4.779888847,5.378730947,124,5.378730947,4.779888847,before HW,39.672,80.946,11.8806166,7.400052303,7.348228131
21,21,1,28,28,1.382,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/5/2006,2006,4.803814505,4.803814505,5.393389172,125,5.393389172,4.803814505,before HW,41.054,80.946,11.8806166,7.551615956,7.499988582
22,22,1,29,29,2.401,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/6/2006,2006,4.832934154,4.832934154,5.407822189,126,5.407822189,4.832934154,before HW,43.455,80.946,11.8806166,7.814610871,7.763647658
23,23,1,3,3,0.81,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/10/2006,2006,4.718884106,4.718884106,5.059512708,100,5.059512708,5.059512708,before HW,11.098,80.946,11.8806166,4.222035064,4.210454517
24,24,1,30,30,2.312,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/7/2006,2006,4.867657792,4.867657792,5.421991288,127,5.421991288,4.867657792,before HW,45.767,80.946,11.8806166,8.067489032,8.017533449
25,25,1,31,31,2.091,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/8/2006,2006,4.908395421,4.908395421,5.435857762,128,5.435857762,4.908395421,before HW,47.858,80.946,11.8806166,8.295899881,8.247150746
26,26,1,32,32,1.919,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/9/2006,2006,4.955557038,4.955557038,5.449382902,129,5.449382902,4.955557038,before HW,49.777,80.946,11.8806166,8.505286773,8.457880345
27,27,1,33,33,1.808,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/10/2006,2006,5.009552643,5.009552643,5.462527999,130,5.462527999,5.009552643,before HW,51.585,80.946,11.8806166,8.702364223,8.65642079
28,28,1,34,34,1.808,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/11/2006,2006,5.070792236,5.070792236,5.475254344,131,5.475254344,5.070792236,before HW,53.393,80.946,11.8806166,8.899256669,8.854961236
29,29,1,35,35,1.652,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/12/2006,2006,5.139685817,5.139685817,5.48752323,132,5.48752323,5.139685817,before HW,55.045,80.946,11.8806166,9.079004329,9.036370979
30,30,1,36,36,1.772,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/13/2006,2006,5.216643384,5.216643384,5.499295947,133,5.499295947,5.216643384,before HW,56.817,80.946,11.8806166,9.271648226,9.230958186
31,31,1,37,37,1.798,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/14/2006,2006,5.302074937,5.302074937,5.510533786,134,5.510533786,5.302074937,before HW,58.615,80.946,11.8806166,9.466954272,9.42840051
32,32,1,38,38,2.648,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/15/2006,2006,5.396390476,5.396390476,5.52119804,135,5.52119804,5.396390476,before HW,61.263,80.946,11.8806166,9.754300003,9.719183198
33,33,1,39,39,2.331,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/16/2006,2006,5.5,5.5,5.53125,136,5.53125,5.5,before HW,63.594,80.946,11.8806166,10.00697094,9.975155421
34,34,1,4,4,0.868,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,4/11/2006,2006,4.732301348,4.732301348,5.068174247,101,5.068174247,5.068174247,before HW,11.966,80.946,11.8806166,4.320478138,4.305771501
35,35,1,40,40,2.313,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/17/2006,2006,5.613139004,5.613139004,5.540662438,137,5.540662438,5.613139004,before HW,65.907,80.946,11.8806166,10.25744553,10.22915102
36,36,1,41,41,1.444,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/18/2006,2006,5.735344964,5.735344964,5.549454051,138,5.549454051,5.735344964,before HW,67.351,80.946,11.8806166,10.41369627,10.38771983
37,37,1,42,42,1.972,11880.6166,5/23/2006,4/7/2006,7-Apr,97,54.1895,-162.71217,2006,45.67,5/19/2006,2006,5.865980851,5.865980851,5.557655015,139,5.557655015,5.865980851,before HW,69.323,80.946,11.8806166,10.62693569,10.60426948
